id_intervallo,Start,End,Latitude_inizio,Latitude_fine,Longitude_inizio,Longitude_fine,Velocità,"LF[315,1000]_mean","LF[315,1000]_max",classe_acustica,Longitudinal,Transverse,Alligator,Pothole,Manhole,Longitudinal_sx,Transverse_sx,Alligator_sx,Pothole_sx,Manhole_sx,Longitudinal_dx,Transverse_dx,Alligator_dx,Pothole_dx,Manhole_dx,Longitudinal_both,Transverse_both,Alligator_both,Pothole_both,Manhole_both,indice_finale
0,2025-07-31 09:18:03,2025-07-31 09:18:11.391128576,43.68389,43.683955866928194,10.437695,10.43747276212026,4.211267506254019,-80.3379111706062,-66.50882533020038,-1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1,2025-07-31 09:18:11.391128576,2025-07-31 09:18:15.367626752,43.683955866928194,43.68402901920158,10.43747276212026,10.43724627572858,4.862102753870531,-65.61260974134636,-62.46816650062623,-1,10,9,0,1,1,0,4,0,1,3,1,3,2,0,0,0,2,0,0,0,3
2,2025-07-31 09:18:15.367626752,2025-07-31 09:18:22.158312960,43.68402901920158,43.68407823655476,10.43724627572858,10.437017875921438,4.422744557492563,-68.92141278429347,-45.83565054760408,-1,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
3,2025-07-31 09:18:22.158312960,2025-07-31 09:18:25.827301376,43.68407823655476,43.68393421059557,10.437017875921438,10.436876332284454,4.881698487152791,-69.45005098380287,-61.35721822162473,-1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
4,2025-07-31 09:18:25.827301376,2025-07-31 09:18:28.298251008,43.68393421059557,43.68377195867262,10.436876332284454,10.436768917864484,7.489952395215705,-62.96717564647986,-58.20852216205612,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
5,2025-07-31 09:18:29,2025-07-31 09:18:31.081721600,43.68372166666666,43.683558326062034,10.436735,10.436630777712711,9.778380133748502,-58.65175533753244,-56.36125850275139,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
6,2025-07-31 09:18:31.081721600,2025-07-31 09:18:33.051175680,43.683558326062034,43.68339539417999,10.436630777712711,10.43652534807962,10.042313635678616,-57.01737552516512,-55.124226770419504,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
7,2025-07-31 09:18:33.051175680,2025-07-31 09:18:34.827365376,43.68339539417999,43.6832327792365,10.43652534807962,10.4364189791384,10.864476602117728,-53.99856937579772,-49.95177728169536,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
8,2025-07-31 09:18:34.827365376,2025-07-31 09:18:36.589478400,43.6832327792365,43.68307096447932,10.4364189791384,10.436310315498217,11.37819287549194,-50.94859865295048,-49.48483962661132,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
9,2025-07-31 09:18:36.589478400,2025-07-31 09:18:38.395545600,43.68307096447932,43.68290905271735,10.436310315498217,10.436201926508478,11.14354182143392,-50.74537659593182,-47.911386756040685,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
10,2025-07-31 09:18:38.395545600,2025-07-31 09:18:40.405628416,43.68290905271735,43.68274660600463,10.436201926508478,10.436095080050592,10.201378589595986,-49.06673482017448,-45.70100631950687,2,1,4,1,3,2,4,4,0,0,2,8,4,4,0,0,0,0,0,0,0,2
11,2025-07-31 09:18:40.405628416,2025-07-31 09:18:43.845473536,43.68274660600463,43.68259693895218,10.436095080050592,10.435962590183344,6.801313931783627,-53.911436586891874,-47.42830697169117,2,2,4,2,1,0,1,0,2,0,2,1,4,3,0,0,0,0,1,0,0,3
12,2025-07-31 09:18:43.845473536,2025-07-31 09:18:47.158266112,43.68259693895218,43.68261246975677,10.435962590183344,10.435725576280465,6.018890359713719,-63.54232349283484,-54.6540206865492,2,13,0,1,0,1,2,2,3,0,0,2,1,0,0,0,0,0,0,0,0,3
13,2025-07-31 09:18:47.158266112,2025-07-31 09:18:49.261117952,43.68261246975677,43.68269298177525,10.435725576280465,10.435503739972404,8.836540147455015,-55.449589954988674,-51.50756437888524,1,6,5,0,2,0,10,6,2,0,1,2,2,0,0,0,0,0,0,0,0,2
14,2025-07-31 09:18:49.261117952,2025-07-31 09:18:51.090516480,43.68269298177525,43.68277452582289,10.435503739972404,10.435282629417422,10.569107080809282,-53.94815559734249,-51.78913490292375,0,7,0,0,0,1,3,1,1,0,2,0,0,0,0,0,0,2,0,0,0,2
15,2025-07-31 09:18:51.090516480,2025-07-31 09:18:52.673802496,43.68277452582289,43.68285481313072,10.435282629417422,10.435060631966453,12.075702204014364,-52.10718539587397,-49.87465567687546,0,7,5,0,0,2,4,0,0,0,1,0,0,0,0,0,0,0,0,0,0,2
16,2025-07-31 09:18:52.673802496,2025-07-31 09:18:54.166988800,43.68285481313072,43.6829341843772,10.435060631966453,10.43483800671742,13.152000163504091,-53.22554874648743,-51.28798905590877,0,4,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
17,2025-07-31 09:18:54.166988800,2025-07-31 09:18:55.610152192,43.6829341843772,43.6830145752968,10.43483800671742,10.434616076140216,13.72187892478177,-49.60941596655744,-44.58710623218441,2,4,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1
18,2025-07-31 09:18:55.610152192,2025-07-31 09:18:57.004140544,43.6830145752968,43.68309523462844,10.434616076140216,10.434394330618868,14.18964124103526,-48.96340394179542,-47.727920137477454,0,4,0,0,0,0,2,0,5,0,2,0,0,0,0,0,0,0,0,0,0,2
19,2025-07-31 09:18:57.004140544,2025-07-31 09:18:58.392253440,43.68309523462844,43.6831738943645,10.434394330618868,10.43417122653057,14.40965884692469,-49.69246911402732,-48.13976456345629,0,10,4,1,1,0,4,6,3,0,2,0,0,0,0,0,0,0,0,0,0,3
20,2025-07-31 09:18:59,2025-07-31 09:19:00.410698496,43.68320833333333,43.68328660625462,10.434075,10.433851639386608,14.187047915582664,-50.33163252953783,-48.93428695786475,0,5,0,0,1,0,0,0,4,0,1,0,0,1,0,0,0,0,0,0,0,2
